"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Rell","Support",3,"1.4%","0.0%","1.4%","33%","100%",2,9,20,2.4,"68.8%","22.5%","67%",382,-106,10.3,1.3,"2.8%",107,"6.2%","9.5%",1.62,0.56
"Renata Glasc","Support",7,"3.2%","2.3%","5.5%","43%","71%",2,18,49,2.8,"66.2%","22.5%","29%",-187,-143,-6.3,0.9,"2.6%",158,"7.6%","9.4%",2.09,0.5
"Renekton","Middle",1,"0.5%","48.6%","73.9%","100%","100%",2,2,12,7,"60.9%","25.0%","0%",545,-228,1,8.2,"20.6%",686,"22.2%","20.8%",0.35,0.31
"Renekton","Top",54,"24.8%","48.6%","73.9%","44%","43%",105,131,190,2.3,"52.9%","23.8%","17%",261,214,7.3,8.7,"25.6%",398,"20.2%","23.8%",0.29,0.24
"Ryze","Middle",16,"7.3%","27.1%","34.4%","38%","6%",33,29,46,2.7,"66.9%","17.3%","13%",-147,-82,0.7,9.3,"27.5%",459,"24.9%","24.6%",0.3,0.23
"Samira","ADC",2,"0.9%","1.4%","2.3%","50%","100%",11,4,7,4.5,"69.2%","11.1%","50%",-97,-204,-20,8.2,"31.5%",447,"23.5%","26.3%",0.48,0.35
"Sejuani","Jungle",106,"48.6%","25.7%","76.1%","43%","42%",107,245,615,2.9,"70.6%","20.4%","33%",-67,-1,0.6,5.2,"13.4%",249,"12.5%","16.1%",0.31,0.51
"Sejuani","Top",4,"1.8%","25.7%","76.1%","50%","25%",7,9,29,4,"75.0%","26.5%","75%",-26,-5,-15.3,6.2,"19.0%",469,"20.6%","18.6%",0.39,0.21
"Senna","Support",1,"0.5%","0.0%","0.5%","100%","100%",0,1,7,7,"70.0%","10.0%","0%",257,-154,0,0.9,"4.4%",349,"14.4%","12.8%",1.59,0.49
"Seraphine","Support",1,"0.5%","0.0%","0.5%","100%","100%",2,1,12,14,"82.4%","20.0%","100%",932,55,-10,0.8,"2.7%",216,"11.3%","11.4%",1.68,0.47
"Sett","Middle",1,"0.5%","0.5%","0.9%","100%","0%",0,0,8,8,"66.7%","0.0%","100%",-315,-969,-23,7.2,"19.7%",267,"11.3%","15.8%",0.43,0.16
"Singed","Support",1,"0.5%","0.0%","0.5%","100%","100%",0,3,9,3,"50.0%","42.9%","0%",-951,-772,1,1.1,"2.3%",97,"4.0%","7.5%",0,0.35
"Sion","Top",21,"9.6%","0.9%","10.6%","43%","81%",25,36,84,3,"53.4%","17.6%","19%",-226,-105,-9.1,7.5,"21.0%",367,"19.6%","19.6%",0.31,0.14
"Sivir","ADC",18,"8.3%","2.8%","11.0%","44%","89%",49,31,82,4.2,"72.8%","16.5%","22%",-107,-191,-3.7,10.6,"36.4%",634,"28.8%","28.2%",0.39,0.39
"Sona","Support",3,"1.4%","0.0%","1.4%","33%","100%",5,7,26,4.4,"77.5%","17.9%","33%",586,137,1.3,0.5,"1.7%",235,"10.9%","11.2%",1.9,0.32
"Soraka","Support",7,"3.2%","0.5%","3.7%","14%","100%",4,20,26,1.5,"56.6%","19.8%","14%",-71,27,2.7,0.8,"2.7%",125,"6.4%","8.8%",1.56,0.43
"Swain","Middle",2,"0.9%","0.0%","0.9%","0%","100%",0,8,2,0.3,"28.6%","27.6%","0%",-110,-79,0.5,7.6,"20.6%",604,"25.9%","20.7%",0.38,0.16
"Sylas","Middle",48,"22.0%","23.9%","46.3%","50%","52%",122,104,216,3.3,"65.3%","19.0%","23%",33,-49,-2.8,8.8,"26.5%",467,"22.8%","24.1%",0.24,0.25
"Sylas","Top",1,"0.5%","23.9%","46.3%","100%","100%",2,0,7,9,"69.2%","0.0%","100%",56,123,-4,9.6,"29.2%",549,"31.3%","24.8%",0.41,0.19
"Syndra","Middle",16,"7.3%","4.6%","11.9%","19%","44%",31,39,46,2,"61.6%","20.5%","0%",-85,-48,0.6,8.6,"24.7%",519,"27.1%","23.2%",0.54,0.18
"Tahm Kench","Support",2,"0.9%","0.0%","0.9%","0%","50%",0,6,2,0.3,"50.0%","28.6%","50%",-40,180,10,1,"1.9%",80,"6.0%","7.5%",0.81,0.23
"Taliyah","Middle",35,"16.1%","6.9%","22.9%","54%","66%",86,65,180,4.1,"68.4%","17.4%","23%",-123,-126,-5.3,9,"26.6%",569,"27.4%","23.4%",0.36,0.19
"Thresh","Support",9,"4.1%","0.9%","5.0%","89%","67%",6,16,71,4.8,"68.8%","30.2%","33%",116,209,3.7,1.2,"1.9%",116,"5.8%","9.9%",1.6,0.38
"Tristana","ADC",1,"0.5%","1.4%","3.2%","100%","100%",2,1,3,5,"45.5%","11.1%","0%",52,134,3,10.9,"35.7%",334,"19.6%","27.0%",0.43,0.24
"Tristana","Middle",3,"1.4%","1.4%","3.2%","67%","67%",14,7,8,3.1,"64.7%","19.4%","33%",467,322,14.3,9.6,"26.9%",613,"32.7%","28.0%",0.49,0.39
"Tryndamere","-",0,"0%","0.9%","0.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Twisted Fate","Middle",3,"1.4%","0.0%","1.4%","100%","100%",5,1,20,25,"62.5%","9.1%","0%",-82,-778,-15.3,7.9,"20.9%",366,"17.4%","22.6%",0.23,0.18
"Twitch","Support",2,"0.9%","0.9%","1.8%","0%","50%",4,10,3,0.7,"63.6%","27.0%","50%",115,-252,-3,0.9,"3.1%",324,"14.8%","11.5%",2.28,0.66
"Urgot","Top",1,"0.5%","0.0%","0.5%","0%","100%",3,4,3,1.5,"100.0%","30.8%","0%",384,-57,4,9.6,"29.0%",550,"28.4%","27.3%",0.43,0.22
