"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Tahm Kench","Support",4,"2.0%","1.5%","3.4%","0%","100%",1,11,7,0.7,"40.0%","19.3%","25%",-79,37,2.5,1.2,"2.5%",121,"7.5%","8.3%",1.73,0.3
"Taliyah","Middle",7,"3.4%","2.4%","5.9%","71%","71%",21,18,41,3.4,"66.7%","25.4%","43%",-38,-103,-4.9,8.6,"23.3%",561,"24.3%","22.2%",0.52,0.14
"Thresh","Support",1,"0.5%","0.0%","0.5%","0%","0%",0,0,6,6,"85.7%","0.0%","0%",-26,56,1,0.9,"1.0%",109,"5.2%","7.0%",1.72,0.34
"Tristana","ADC",6,"2.9%","42.0%","69.3%","83%","67%",25,8,29,6.8,"74.0%","17.4%","17%",-130,-146,-4.8,10,"33.4%",479,"26.0%","27.3%",0.54,0.41
"Tristana","Middle",50,"24.4%","42.0%","69.3%","54%","30%",211,99,214,4.3,"70.5%","16.7%","14%",74,-26,0.9,9.9,"30.7%",624,"28.1%","27.2%",0.44,0.34
"Trundle","Top",1,"0.5%","0.0%","0.5%","0%","100%",1,7,1,0.3,"33.3%","25.9%","0%",52,-368,9,10.1,"34.0%",334,"19.3%","29.5%",0.5,0.18
"Twisted Fate","Middle",4,"2.0%","0.5%","2.4%","75%","100%",11,7,40,7.3,"68.9%","18.4%","25%",-87,-614,-4.3,8.2,"23.3%",467,"21.2%","22.0%",0.4,0.26
"Twitch","ADC",1,"0.5%","0.0%","0.5%","100%","100%",6,0,3,9,"69.2%","-","100%",386,288,5,10.2,"29.8%",517,"23.9%","25.5%",0.42,0.67
"Varus","ADC",26,"12.7%","13.2%","25.9%","35%","50%",98,68,112,3.1,"70.7%","18.3%","31%",194,131,4.4,9.4,"29.9%",645,"29.0%","26.0%",0.6,0.4
"Vayne","ADC",1,"0.5%","0.0%","0.5%","100%","100%",13,2,4,8.5,"81.0%","40.0%","100%",2066,814,2,11.1,"37.4%",730,"37.1%","36.0%",0.45,0.41
"Veigar","Middle",5,"2.4%","0.5%","2.9%","40%","100%",16,10,11,2.7,"69.2%","16.7%","20%",-26,-73,-0.2,8.9,"24.4%",460,"26.3%","23.7%",0.32,0.23
