"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Sion","Top",71,"21.6%","19.1%","40.7%","56%","62%",89,140,401,3.5,"54.9%","17.0%","-","-","-","-",7.5,"-",455,"20.4%","19.5%",0.32,0.15
"Ashe","Support",68,"20.7%","36.5%","58.7%","47%","24%",57,193,572,3.3,"71.8%","20.8%","-","-","-","-",1.1,"-",360,"15.0%","10.7%",1.95,0.67
"Lulu","Support",68,"20.7%","10.3%","31.0%","51%","49%",32,128,618,5.1,"80.8%","16.0%","-","-","-","-",0.7,"-",105,"5.2%","9.3%",1.43,0.33
"Syndra","Middle",67,"20.4%","18.5%","38.9%","48%","49%",210,174,293,2.9,"67.8%","20.5%","-","-","-","-",8.4,"-",546,"26.4%","23.6%",0.38,0.19
"Nautilus","Support",66,"20.1%","14.6%","34.7%","48%","76%",46,242,505,2.3,"63.9%","26.2%","-","-","-","-",1.2,"-",137,"6.5%","9.2%",1.27,0.37
"Heimerdinger","Support",62,"18.8%","6.7%","25.5%","48%","47%",75,151,416,3.3,"60.2%","20.4%","-","-","-","-",0.9,"-",351,"15.3%","10.6%",1.5,0.48
"Sylas","Middle",57,"17.3%","17.6%","36.5%","46%","49%",184,126,274,3.6,"63.3%","18.3%","-","-","-","-",8.1,"-",490,"22.4%","22.9%",0.24,0.24
"Yuumi","Support",57,"17.3%","15.2%","32.5%","53%","39%",32,76,619,8.6,"86.0%","11.7%","-","-","-","-",0.2,"-",259,"11.7%","9.0%",1.37,0.13
"Akali","Middle",55,"16.7%","28.0%","45.3%","40%","55%",219,119,214,3.6,"66.5%","17.0%","-","-","-","-",7.9,"-",486,"22.8%","22.8%",0.24,0.21
"Jayce","Middle",54,"16.4%","35.0%","59.3%","63%","17%",229,109,277,4.6,"68.0%","17.4%","-","-","-","-",8.7,"-",717,"27.3%","24.5%",0.35,0.3
"Lee Sin","Jungle",54,"16.4%","27.4%","44.1%","61%","48%",177,130,384,4.3,"75.7%","20.5%","-","-","-","-",5.4,"-",314,"14.1%","18.1%",0.41,0.35
"Gnar","Top",53,"16.1%","7.9%","24.0%","47%","79%",102,148,220,2.2,"51.4%","20.8%","-","-","-","-",8.6,"-",535,"24.8%","23.8%",0.37,0.18
"Rakan","Support",47,"14.3%","5.5%","19.8%","55%","28%",50,120,462,4.3,"79.8%","19.9%","-","-","-","-",1.3,"-",143,"6.9%","9.9%",1.99,0.54
"Xayah","ADC",46,"14.0%","7.3%","21.3%","59%","59%",221,109,228,4.1,"70.2%","19.0%","-","-","-","-",10.1,"-",621,"28.3%","28.0%",0.42,0.37
"Azir","Middle",43,"13.1%","13.4%","26.4%","44%","60%",126,113,193,2.8,"67.9%","20.0%","-","-","-","-",8.7,"-",622,"27.4%","23.9%",0.38,0.23
"Elise","Jungle",43,"13.1%","43.8%","56.8%","47%","30%",84,108,230,2.9,"66.1%","20.1%","-","-","-","-",5.1,"-",392,"18.0%","17.6%",0.67,0.53
"Jhin","ADC",40,"12.2%","3.0%","16.1%","40%","88%",139,64,241,5.9,"67.6%","12.1%","-","-","-","-",8.7,"-",569,"22.6%","24.4%",0.37,0.23
"Annie","Support",39,"11.9%","14.9%","34.0%","54%","31%",43,98,329,3.8,"79.3%","21.8%","-","-","-","-",0.6,"-",230,"10.9%","10.0%",1.1,0.4
"Ahri","Middle",38,"11.6%","9.4%","21.0%","50%","53%",118,71,256,5.3,"72.8%","14.1%","-","-","-","-",8.4,"-",537,"24.3%","22.2%",0.38,0.34
"Fiora","Top",35,"10.6%","32.2%","42.9%","46%","54%",99,76,89,2.5,"47.4%","16.7%","-","-","-","-",8.9,"-",476,"22.5%","25.0%",0.29,0.2
"Yone","Middle",35,"10.6%","15.5%","26.4%","57%","43%",147,78,180,4.2,"66.5%","19.0%","-","-","-","-",9.2,"-",544,"22.9%","25.8%",0.23,0.27
"Sivir","ADC",34,"10.3%","2.4%","12.8%","24%","82%",76,99,156,2.3,"71.6%","18.9%","-","-","-","-",9.9,"-",579,"26.0%","26.6%",0.36,0.37
"Kennen","Top",33,"10.0%","10.6%","20.7%","48%","58%",87,108,161,2.3,"53.6%","24.2%","-","-","-","-",8.2,"-",633,"28.6%","23.1%",0.31,0.17
"Caitlyn","ADC",32,"9.7%","24.0%","35.0%","59%","50%",127,60,135,4.4,"65.5%","16.2%","-","-","-","-",9.7,"-",601,"26.7%","27.1%",0.26,0.38
